commentId,label_llm,label,channel_type,likeCount,video_title
UgzfcuwHq4vJpiAoo-Z4AaABAg,POSITIVO,2,profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
UgxmVGyaD8j1tv8kdwZ4AaABAg,TANGENCIAL,1,profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
UgzwOXSRNVhOoY0TVB14AaABAg,POSITIVO,2,profissional,1,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
UgwPT5GHVjlKRMh8IQl4AaABAg,NEGATIVO,0,profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
UgyCa937CEDnN1XxUQJ4AaABAg,POSITIVO,2,profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
Ugz2cKvRxdsjdUovCwF4AaABAg,TANGENCIAL,1,profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
UgzvfJSQ0ahtTn44LdB4AaABAg,POSITIVO,2,profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
Ugwl7GHMTzzI0f23IlF4AaABAg,TANGENCIAL,1,profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
UgzxvRzo4uma1vHGSqJ4AaABAg,POSITIVO,2,profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
UgzTcqP7C1TCS1vx8E14AaABAg,TANGENCIAL,1,profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
UgwwpYdjey7eZ6JaFjN4AaABAg,TANGENCIAL,1,profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
UgxBmOTcw-4BDvuobR94AaABAg,POSITIVO,2,profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
Ugy6Jc52m0K71feYs1R4AaABAg,POSITIVO,2,profissional,3,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
UgxbNIkt8SB5Zw-i8Lp4AaABAg,TANGENCIAL,1,profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
UgyJhDBzHoby2d-81V94AaABAg,NEGATIVO,0,profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
Ugzzq0l55TuwUCLiX1V4AaABAg,POSITIVO,2,profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
UgyTUH6RxETkmep8RbB4AaABAg,TANGENCIAL,1,profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
Ugz4mMPIcr5CPVnoAKt4AaABAg,POSITIVO,2,profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
UgzMD-q6vXU71ip76Rh4AaABAg,NEGATIVO,0,profissional,0,"Espinosa, o principal filósofo português? | Leandro Karnal e José Rodrigues dos Santos"
